Designator,Mid X,Mid Y,Rotation,Layer
C2,145.0,-107.0,0.0,top
C3,140.5,-107.0,0.0,top
C4,120.65,-100.33,270.0,top
J1,175.7754,-68.58,270.0,top
J16,153.345,-83.015,0.0,top
J3,165.22,-81.28,0.0,top
J4,165.1,-92.71,0.0,top
J5,134.62,-89.535,0.0,top
R12,133.985,-95.25,90.0,top
R4,133.985,-106.045,90.0,top
R5,133.985,-100.33,90.0,top
SW1,138.3104,-64.135,90.0,top
SW2,150.3904,-64.065,90.0,top
U2,143.0,-99.25,90.0,top
U3,127.085,-100.33,0.0,top
U4,113.665,-71.12,180.0,top
